epoch, batch, loss, loss_f, loss_e, f_rmse, f_mae, e_mae
   11,    24,           4.9947,         0.049326,         0.062168,           4.5855,           3.8082,           5.1406
   11,    25,           3.6173,         0.035865,          0.03084,             3.91,           2.9393,            3.625
   12,     1,           2.4697,         0.024618,        0.0078171,           3.2395,           2.4692,           1.8281
   12,     2,           2.2164,         0.021273,         0.089108,           3.0114,           2.4002,           6.1562
   12,     3,           4.3112,         0.041944,          0.11682,           4.2284,           3.1664,           7.0625
   12,     4,           1.4032,          0.01332,         0.071193,           2.3829,           1.8127,           5.5156
   12,     5,           1.8923,         0.018852,        0.0070958,           2.8348,           2.2788,           1.7344
   12,     6,           1.8238,         0.018151,        0.0087186,           2.7816,           2.3792,           1.9219
   12,     7,           3.5777,         0.035216,         0.056027,           3.8745,           3.1853,           4.8906
   12,     8,           4.1831,         0.040441,          0.13902,            4.152,           3.1152,           7.7031
   12,     9,           1.5373,         0.014587,         0.078553,           2.4936,           2.0163,           5.7812
   12,    10,           1.9486,         0.019019,         0.046644,           2.8474,           2.0959,           4.4531
   12,    11,           1.6737,         0.016524,         0.021311,           2.6541,           1.8534,           3.0156
   12,    12,           4.6432,          0.04622,         0.021227,           4.4388,           3.2387,           3.0156
   12,    13,           1.6267,         0.016267,       7.7073e-06,           2.6333,           2.0099,           0.0625
   12,    14,           4.3787,         0.043784,       0.00030421,           4.3202,            3.522,          0.35938
   12,    15,           6.1262,         0.060973,         0.028848,           5.0982,           3.9861,              3.5
   12,    16,           2.5756,         0.025687,        0.0069698,            3.309,           2.4843,           1.7188
   12,    17,           5.5513,         0.055513,       3.9541e-06,           4.8646,           3.9271,         0.046875
   12,    18,           3.2352,         0.031862,         0.048958,           3.6854,           3.0418,           4.5625
   12,    19,           1.6448,         0.014839,          0.16093,           2.5151,           2.0937,           8.2812
   12,    20,            5.791,         0.057297,         0.061327,           4.9421,           4.1872,           5.1094
   12,    21,           6.5576,         0.065558,        0.0017941,           5.2864,           4.3288,            0.875
   12,    22,           3.1274,         0.031194,        0.0080066,           3.6466,           2.8261,           1.8438
   12,    23,           4.0814,         0.040772,        0.0042534,            4.169,           3.5228,           1.3438
   12,    24,           2.9533,          0.02935,         0.018284,           3.5372,            2.808,           2.7969
   12,    25,           3.1016,         0.030689,         0.032651,           3.6169,             2.65,           3.7344
   13,     1,           3.7615,         0.037325,          0.02895,           3.9889,           3.2326,           3.5156
   13,     2,           4.0396,         0.040384,         0.001117,           4.1491,           3.5426,           0.6875
   13,     3,           5.2723,          0.05267,        0.0053146,           4.7384,           3.5732,              1.5
   13,     4,           2.9005,         0.028914,        0.0091422,           3.5107,           2.7368,           1.9688
   13,     5,           6.2982,         0.062848,          0.01341,            5.176,           4.5943,           2.3906
   13,     6,           2.9644,          0.02825,          0.13936,           3.4702,           2.6432,           7.7031
   13,     7,           4.5117,         0.044173,         0.094324,           4.3394,           3.1332,           6.3438
   13,     8,            1.474,         0.014739,       6.7023e-05,           2.5066,           1.7791,          0.17188
   13,     9,           4.2159,         0.040307,          0.18526,           4.1451,             3.15,           8.8906
   13,    10,           5.0073,         0.047652,          0.24208,            4.507,           3.8414,           10.156
   13,    11,           3.3846,         0.032532,          0.13141,            3.724,            2.736,           7.4844
   13,    12,           6.3583,         0.063535,        0.0047772,           5.2042,           3.8717,           1.4219
   13,    13,           4.8136,         0.046974,          0.11613,           4.4748,           3.4863,           7.0312
   13,    14,           2.8161,         0.026096,          0.20648,           3.3353,           2.2134,            9.375
   13,    15,           7.1198,         0.069997,          0.12007,           5.4625,           4.0211,           7.1562
   13,    16,           4.5738,         0.045203,          0.05353,           4.3896,           3.3575,           4.7812
   13,    17,           1.5699,         0.015669,        0.0029973,           2.5845,           2.0511,            1.125
   13,    18,           3.7415,         0.037189,         0.022568,           3.9816,           3.3146,           3.1094
   13,    19,           3.1651,         0.031438,         0.021329,           3.6608,           3.0357,           3.0156
   13,    20,            4.367,         0.043349,         0.032042,           4.2987,           3.3526,           3.7031
   13,    21,           3.2737,         0.032166,         0.057103,           3.7029,           2.9412,           4.9375
   13,    22,           5.2461,         0.051643,         0.081844,            4.692,           3.7089,           5.9062
   13,    23,           2.7817,         0.027319,         0.049775,           3.4126,           2.4886,           4.6094
   13,    24,           3.0192,         0.029912,         0.027977,           3.5708,            2.665,           3.4531
   13,    25,           2.7226,         0.027185,        0.0040685,           3.4042,           2.8397,           1.3125
   14,     1,           3.1014,         0.031008,        0.0005512,           3.6357,           2.9137,          0.48438
   14,     2,           5.5542,          0.05532,         0.022229,           4.8561,           4.2015,           3.0781
   14,     3,           2.9828,         0.028256,          0.15717,           3.4706,           2.9477,           8.1875
   14,     4,           2.9204,         0.027374,          0.18302,            3.416,           2.7099,           8.8281
   14,     5,           3.1087,         0.030452,         0.063491,           3.6029,           2.8901,           5.2031
   14,     6,           2.2296,         0.022067,         0.022969,            3.067,           2.2466,            3.125
   14,     7,           2.3722,         0.023541,         0.018125,           3.1678,           2.2934,           2.7812
   14,     8,           2.0948,         0.019717,          0.12309,           2.8992,           2.2254,             7.25
   14,     9,           2.5119,         0.023208,          0.19113,           3.1453,           2.3701,           9.0312
   14,    10,           1.5247,         0.014064,          0.11837,           2.4485,           2.0067,           7.1094
